Duration,1,2,5,10,25,50,100,200,500,1000
5-min:,0.543,0.622,0.754,0.864,1.02,1.14,1.26,1.39,1.55,1.68
10-min:,0.795,0.911,1.1,1.26,1.49,1.67,1.85,2.03,2.28,2.46
15-min:,0.969,1.11,1.35,1.54,1.82,2.03,2.25,2.48,2.78,3
30-min:,1.49,1.73,2.11,2.43,2.88,3.23,3.58,3.94,4.42,4.79
60-min:,2.02,2.32,2.84,3.32,4.02,4.61,5.24,5.92,6.87,7.64
2-hr:,2.55,2.91,3.58,4.2,5.16,6,6.9,7.89,9.32,10.5
3-hr:,2.86,3.26,4.02,4.77,5.96,7.01,8.18,9.48,11.4,13
6-hr:,3.38,3.9,4.92,5.92,7.5,8.9,10.5,12.2,14.7,16.8
12-hr:,3.9,4.65,6.01,7.28,9.21,10.9,12.6,14.6,17.4,19.7
24-hr:,4.58,5.46,7.02,8.44,10.6,12.4,14.3,16.4,19.3,21.7
2-day:,5.42,6.26,7.8,9.24,11.5,13.4,15.4,17.7,20.9,23.6
3-day:,5.82,6.73,8.38,9.91,12.3,14.3,16.4,18.8,22.2,25
4-day:,6.14,7.11,8.88,10.5,13,15.1,17.4,19.8,23.4,26.2
7-day:,7.07,8.16,10.1,11.9,14.6,16.9,19.4,22.1,25.9,29
10-day:,7.99,9.14,11.2,13.1,16,18.4,20.9,23.7,27.7,30.9
20-day:,10.7,12.1,14.5,16.6,19.7,22.2,24.8,27.6,31.5,34.6
30-day:,13,14.6,17.4,19.7,23,25.6,28.2,31,34.8,37.7
45-day:,16,17.9,21.2,23.8,27.5,30.2,33,35.8,39.4,42.1
60-day:,18.5,20.8,24.5,27.5,31.5,34.5,37.4,40.2,43.8,46.4
